iter	Passed	Remaining
0	60	60157
1	60	30162
2	60	20160
3	60	15162
4	61	12162
5	61	10170
6	61	8743
7	61	7671
8	62	6835
9	62	6171
10	62	5625
11	62	5169
12	63	4784
13	63	4452
14	63	4165
15	63	3913
16	63	3691
17	64	3494
18	64	3317
19	64	3158
20	64	3019
21	64	2888
22	65	2768
23	65	2659
24	65	2557
25	65	2464
26	65	2377
27	66	2297
28	66	2223
29	66	2153
30	66	2088
31	67	2027
32	67	1969
33	67	1915
34	67	1868
35	67	1820
36	68	1778
37	68	1738
38	68	1697
39	69	1658
40	69	1620
41	69	1584
42	69	1550
43	69	1517
44	70	1487
45	70	1457
46	70	1428
47	70	1401
48	70	1375
49	71	1351
50	71	1327
51	71	1304
52	71	1282
53	72	1261
54	72	1240
55	72	1220
56	72	1202
57	72	1183
58	73	1166
59	73	1148
60	73	1131
61	73	1116
62	74	1100
63	74	1085
64	74	1071
65	74	1057
66	74	1043
67	75	1030
68	75	1017
69	75	1004
70	75	991
71	75	979
72	76	967
73	76	955
74	76	944
75	76	933
76	76	922
77	77	911
78	77	902
79	77	891
80	77	882
81	77	872
82	77	861
83	78	852
84	78	844
85	78	835
86	78	827
87	79	819
88	79	811
89	79	803
90	79	795
91	79	788
92	80	782
93	80	775
94	80	768
95	81	762
96	81	756
97	81	749
98	81	743
99	81	736
100	82	730
101	82	724
102	82	718
103	82	712
104	82	706
105	83	700
106	83	695
107	83	689
108	83	684
109	83	679
110	84	674
111	84	669
112	84	663
113	84	658
114	85	654
115	85	649
116	85	644
117	85	639
118	85	635
119	86	630
120	86	626
121	86	622
122	86	617
123	86	613
124	87	609
125	87	605
126	87	601
127	87	597
128	87	593
129	88	589
130	88	585
131	88	582
132	88	578
133	88	574
134	89	571
135	89	567
136	89	564
137	89	561
138	90	557
139	90	554
140	90	551
141	90	547
142	90	544
143	91	540
144	91	542
145	92	538
146	92	535
147	92	532
148	92	529
149	92	526
150	93	523
151	93	520
152	93	518
153	93	515
154	93	512
155	94	509
156	94	507
157	94	504
158	94	502
159	95	499
160	95	496
161	95	494
162	95	491
163	95	489
164	96	486
165	96	484
166	96	481
167	96	478
168	96	476
169	97	474
170	97	472
171	97	469
172	97	467
173	97	465
174	98	462
175	98	460
176	98	458
177	98	456
178	99	454
179	99	452
180	99	450
181	99	448
182	99	446
183	100	444
184	100	442
185	100	440
186	100	438
187	101	436
188	101	434
189	101	432
190	101	430
191	101	428
192	102	427
193	102	425
194	102	423
195	102	421
196	103	420
197	103	418
198	103	416
199	103	415
200	103	413
201	104	411
202	104	409
203	104	408
204	104	406
205	105	405
206	105	403
207	105	402
208	105	400
209	106	398
210	106	397
211	106	395
212	106	394
213	106	392
214	107	391
215	107	389
216	107	388
217	107	386
218	107	384
219	108	383
220	108	381
221	108	380
222	108	379
223	109	377
224	109	376
225	109	375
226	109	373
227	109	372
228	110	370
229	110	369
230	110	368
231	110	366
232	111	365
233	111	364
234	111	362
235	111	361
236	111	360
237	112	358
238	112	357
239	112	356
240	112	355
241	112	353
242	113	352
243	113	351
244	113	349
245	113	348
246	114	347
247	114	346
248	114	345
249	114	344
250	114	342
251	115	341
252	115	340
253	115	339
254	115	338
255	115	337
256	116	336
257	116	335
258	116	333
259	116	332
260	117	331
261	117	331
262	117	330
263	117	328
264	118	327
265	118	326
266	118	325
267	118	324
268	118	323
269	119	322
270	119	321
271	119	320
272	119	319
273	120	318
274	120	317
275	120	316
276	120	315
277	121	314
278	121	313
279	121	312
280	121	311
281	121	310
282	122	309
283	122	308
284	122	307
285	122	306
286	123	305
287	123	304
288	123	304
289	123	303
290	124	302
291	124	301
292	124	300
293	124	299
294	125	298
295	125	297
296	125	296
297	125	295
298	125	295
299	126	294
300	126	293
301	126	292
302	126	291
303	127	290
304	127	290
305	127	289
306	127	288
307	127	287
308	128	286
309	128	285
310	128	284
311	128	284
312	129	283
313	129	282
314	129	281
315	129	280
316	130	280
317	130	279
318	130	278
319	130	277
320	131	277
321	131	276
322	131	275
323	131	274
324	131	273
325	132	273
326	132	272
327	132	271
328	132	270
329	132	270
330	133	269
331	133	268
332	133	267
333	133	266
334	134	266
335	134	265
336	134	264
337	134	263
338	134	263
339	135	262
340	135	261
341	135	260
342	135	260
343	135	259
344	136	258
345	136	257
346	136	257
347	136	256
348	137	255
349	137	254
350	137	254
351	137	253
352	137	252
353	138	252
354	138	251
355	138	250
356	138	249
357	139	249
358	139	248
359	139	248
360	139	247
361	139	246
362	140	245
363	140	245
364	140	244
365	140	243
366	140	243
367	141	242
368	141	241
369	141	241
370	141	240
371	142	239
372	142	239
373	142	238
374	142	237
375	142	237
376	143	236
377	143	235
378	143	235
379	143	234
380	144	234
381	144	233
382	144	232
383	144	232
384	144	231
385	145	230
386	145	230
387	145	229
388	145	228
389	146	228
390	146	227
391	146	227
392	146	226
393	146	225
394	147	225
395	147	224
396	147	224
397	147	223
398	148	222
399	148	222
400	148	221
401	148	221
402	148	220
403	149	220
404	149	219
405	149	218
